UNIQUE_ID,user,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,class
1,33,-0.11012294345117457,0.35327146494236394,0.3892280057286861,-0.20098314825171892,-0.183628735795981,-0.24301409159467371,0.4517567383025109,0.14751759525316072,0.11953556071505318,0.19109432733092993,-0.1026807388299126,0.06393570690395574,-0.1266818312219089,0.2310891841387731,-0.11033011068439698,0.11217121195575083,0.3721220512201755,0.10656956431747071,0.26513297010826253,-0.21196271036284506,-0.11810072326054633,0.12397436420627583,0.04741617397514492,-0.16229982868103787,0.0034037968915441585,0.3403524164764409,-0.06116060650037032,0.11503627094371086,0.04177436903925423,0.13862782470380758,0.06985818638897218,8.518237676425102,1.864081973938072,2075.165044477824,294.0252407014391,1550.039128005164,3.187177564356338,6.595262236948047,3.920968185931489,3.8909201632075843,8.02935969766739,3.702521464592335,12.110161651597425,Jogging
2,33,-0.25279062889073056,0.20370219687747732,0.012933232567919069,0.15642143483762977,0.28405838607822576,0.5017244373819862,0.38435418154982215,0.3017195773270711,0.40906751283195836,0.10976465808805289,0.13806590405810662,0.013948637447820558,0.130132547119031,0.3225959656444557,0.12613699075835638,0.12983848032010914,-0.06770604671489047,0.42893667312084177,0.10372259736969014,0.1522817340035324,0.07030463566326342,0.20264151040983874,-0.2538187962329883,0.11658496384214619,-0.0034159276094105073,0.3616359008227922,0.2651675425119934,0.043965920563445574,-0.07478754258055045,-0.10866200772109026,0.11233724861005877,7.481441471728525,1.7703519156553171,1524.789655478986,269.3077696886407,1233.1278200579532,3.9382238574458426,6.958110666667728,3.887911159806104,5.661534386611862,8.19635262333779,5.05061433798361,11.877009809278311,Jogging
3,33,0.12856050073783926,0.3362035707954274,0.0032897003762795696,0.022805131513327054,-0.22114476151412335,0.35372775045306826,-0.33152854928822983,0.1242035671209014,0.038965670164188476,0.17623689955547048,0.20972913619821343,0.3054348723639295,0.12138839427150198,-0.2506619459347911,0.4098460752987666,-0.009075363783362767,0.25586763230101267,0.006323626052099629,0.24547158134185024,0.04688366464418106,-0.02021045888202451,0.28070606165924994,-0.40713645189308156,0.012503298818350633,0.07578500321954558,0.17324442494082543,-0.015963110795390797,-0.3059363005289276,0.15533694388227776,-0.12728874132586085,0.11466692759128279,7.833697143748036,2.374256062405769,1766.9654386337033,248.87562580724102,1779.7830581361304,3.8097746234688983,7.156627662391295,4.518182746116416,5.393386310261336,8.238708757951015,5.347989431597902,11.846468399051709,Jogging
4,33,0.6401696364991727,0.17718721672009768,0.09796403461475596,0.11150214359235072,-0.1469071460467415,0.13839603120423571,0.48636252531855334,0.3898686228380006,0.03437563264038147,-0.042128553568439364,0.2502404122470514,0.08326962635087479,0.08264257254125745,-0.05553091246502667,0.25936594428146653,0.11766232637786618,0.09798617396279316,0.10149759946772766,0.15695709472236943,-0.09534386285663209,-0.11598043864647697,-0.4148822459999959,0.17091965719708624,0.4784955049356834,0.29324981545616163,0.061252000434251955,-0.11151521894355437,0.0608706567459726,-0.0640243568456687,0.17395711187976787,-0.05911610404690522,9.651474019977474,0.4010422314250153,2524.7218245993786,709.4251222605035,1379.7238746561266,2.004648478706254,3.9747879076724875,2.371347235780141,3.0210895990009807,5.022168101641073,2.77136681392097,10.785199960572484,Walking
5,33,0.5608316104414631,0.18333331641806666,0.14294241482695186,0.2212678212448862,-0.08078004335135175,0.6990935592928339,0.4033615835044697,-0.004276214477843293,0.19184500587069164,-0.34975428296940964,0.16526071099194004,0.1104192564954625,0.1465530750609811,-0.04038279057165123,0.3172426065036025,-0.07877470336738011,0.33920228274292585,0.026918824416813314,-0.23128360942720555,-0.010058758628876438,0.4571441648262172,-0.23746530598864538,-0.10576183220425676,0.16389674130367393,-0.09035665521801788,0.018741178541616818,-0.08208869628682146,0.2167893422797273,0.08800489625967199,0.3394184378241666,-0.32765771107165637,10.045737846559105,0.6637115841453787,1075.0345209194181,3300.0764625954653,1774.8983508452338,2.095232681927815,4.28166777093513,2.381450310871161,2.841528909293414,4.7240831037397415,3.122112567908651,10.958722975997059,Walking
6,33,-0.008894340694220654,-0.0948244897469454,-0.12506217954555662,-0.099596580673321,0.21164475114328446,0.14970645261804744,0.2572875756788888,0.1676643048746585,-0.03988278204530786,0.5454990759985806,0.030974497532484768,-0.2536626132139975,0.27334635527529044,0.0009316832237958178,0.02069145097683736,0.03120513433343651,0.15612741498952326,-0.15796147166801106,-0.01843679518946803,0.08942512922942694,0.33915253888772146,-0.0727895713497447,-0.060404894730432326,0.3239551461068649,0.20847028451414845,0.14211335135088599,-0.06948717680751783,0.2880325308234027,0.06133957986889626,0.09426552929910463,0.015494426300435264,7.748016843328394,0.4763250425853887,3124.938256898866,1337.0331862435353,2674.927546828435,1.9868842304904442,3.4105478874089883,1.7956627924820538,2.8583221596367894,5.052640007763916,3.2778396630781046,8.293007254363285,Walking
7,33,0.056828777311045006,-0.039613713745190515,0.17654917875780685,0.05191722668767278,-0.15497261820607253,0.33839901348522833,0.163755462390146,0.0009359329636634828,-0.1482076874263637,-0.20937077078543104,0.04723324632084345,-0.27579263802927156,0.4312251164637926,-0.04313603790797929,0.08605344714250712,0.034777608970637336,0.13048947011330925,0.290767222842003,-0.43198380229951494,0.2389595903795741,0.10406574386861991,0.2962027611893912,0.1900127733267516,-0.19151344623830363,-0.1660815579088702,0.3098601040817548,0.25364772546968206,0.04411220694564615,0.24158951451917227,0.00705194152758061,0.19703530580136552,9.143674843950839,1.033172553566936,4900.033031206761,1058.2807592619008,1825.0998666572652,1.4719827190808488,2.529857209463138,2.2211018501349793,2.2786639632433903,3.14093111718978,2.1248158329406555,9.643183167504844,Upstairs
8,33,0.3978215960527519,0.06654818198317505,0.31094407781011224,0.2964739018033198,0.280337943029452,0.27950042827881294,0.2879368504785097,0.4920055878379014,0.20608162440270383,0.21928277090066045,-0.3038564924305862,-0.01009250252476647,-0.1409952535776888,0.14188547476741958,0.24395717672732742,0.2329260012589959,-0.1909713073903766,0.3472624653292029,0.23371533426886448,0.10902599310399257,-0.1477246187726155,0.13656735358708189,0.19695527060736423,0.32316995817605376,-0.03728263355339356,0.026561532890266124,-0.024533530450340013,0.1692871768072815,0.04282590878285416,0.08833053781827363,-0.12536670307659234,9.480058744719003,1.5948718746783934,800.1552312791337,1274.678723826906,2983.4028565326867,1.9776651795556788,2.7010873460016445,1.5033319326528782,2.453442292175305,3.4900127381084793,2.44173321717681,10.263302044745945,Upstairs
9,33,0.3056724902349371,0.1601184463380091,0.16993375892680648,0.14839112556636058,0.22264725383264594,0.13741528409746495,0.2743371218483943,0.06814054666523783,0.1086413760430709,0.2888943759822643,0.06919082139215071,-0.042541883760766785,0.07300409739725953,0.2041120645799285,0.014170465503082555,0.4167564554313962,0.10666259784296393,-0.09460663537382152,0.6473933809246554,0.04049231140863842,0.4567934048903107,0.23305374107346102,0.19818282783260158,-0.032154253188639376,0.13762126772000013,-0.03994222981622493,0.26506715172101036,0.10049408645540303,0.13273640782409776,0.5315686155057467,-0.19312651046873203,8.817976474959075,1.2942779028085925,1283.4526218192805,845.7931919532951,1533.2500095575067,2.447437232903806,2.5672117219091017,1.3026406324587114,2.316732197825274,3.1244045597102237,2.86817372170455,10.001769649729972,Upstairs
10,33,0.21046900026547535,0.09327746032756243,-0.5384200746188375,-0.12772034326440537,-0.27842923753510335,0.016635852343574408,-0.03167693096173816,0.20405381321087232,0.32314775660804457,0.2300879527267668,0.08167231038801101,0.3371826996254216,-0.061651401836509745,0.21729174221874584,-0.10899667731989622,0.08275433325048277,0.23096614160249349,0.09766270040307518,-0.14122013640636508,0.04339629051878305,0.21232298352584805,0.2132700920421158,0.5322741351911955,0.15826737788828346,0.09687637716574861,-0.3125485403412246,-0.05979566299533295,-0.22895044939339632,0.33914012647454633,-0.029419611079106785,-0.24471071775310824,0.4177192618675567,0.0031222765828474944,1841.0397315856408,125.09594448815803,2032.7524446135417,0.06648819115623757,0.4420369141931891,-0.31350197295444016,1.5370422146031713,9.291404678406069,1.7955258177815914,0.10479485625391888,Upstairs
11,33,0.26836600890800333,0.1041628284489598,-0.010364841960771407,0.1382069950624133,0.25243662784583965,-0.2047618751687183,0.30371284365024065,0.20870341769935294,0.24047510439634603,0.2633275004392759,-0.09093103941377145,0.3610857026783665,0.3057757123441817,0.43137347304133855,-0.1082606164302143,0.229525765713396,-0.06413647392110597,-0.12297169679435549,0.3464503980814825,-0.04700267837768406,0.21125271674149315,0.05470248936908904,0.2969659609402471,-0.0017260842635442863,0.160394510225532,0.25188491465190405,-0.48040288523645347,0.08057176054797258,-0.17675174134431268,0.5124528144468148,0.16292897976656204,7.952628138206905,2.869163014548187,175.07890484271712,874.8764842788391,175.31357063331671,2.0094445735622597,2.9788335130374195,2.6041846178463044,2.61175538868849,3.5205037750389483,2.785141556880836,9.394568816630322,Downstairs
